Task: task3stock | Model: Llama-3.1-8B-Instruct | Mode: explain | Average conspiracy belief rating: 4.43 | Total responses: 99
Task: task3stock | Model: Llama-3.0-8B-Instruct | Mode: explain | Average conspiracy belief rating: 6.27 | Total responses: 100
Task: task3stock | Model: Qwen3-1.7B | Mode: direct | Average conspiracy belief rating: 4.98 | Total responses: 100
Task: task3stock | Model: Qwen2.5-7B-Instruct | Mode: explain | Average conspiracy belief rating: 3.44 | Total responses: 100
Task: task3stock | Model: Qwen3-4B | Mode: explain | Average conspiracy belief rating: 4.14 | Total responses: 99
Task: task3stock | Model: Qwen3-4B | Mode: direct | Average conspiracy belief rating: 5.17 | Total responses: 100
Task: task3stock | Model: Llama-3.2-11B-Vision-Instruct | Mode: direct | Average conspiracy belief rating: 4.41 | Total responses: 100
Task: task3stock | Model: gemma-2-9b-it | Mode: direct | Average conspiracy belief rating: 4.95 | Total responses: 100
Task: task3stock | Model: Llama-3.2-11B-Vision-Instruct | Mode: explain | Average conspiracy belief rating: 4.82 | Total responses: 98
Task: task3stock | Model: gemma-2-9b-it | Mode: explain | Average conspiracy belief rating: 5.86 | Total responses: 100
Task: task3stock | Model: Qwen3-14B | Mode: direct | Average conspiracy belief rating: 3.00 | Total responses: 100
Task: task3stock | Model: Qwen3-14B | Mode: explain | Average conspiracy belief rating: 2.53 | Total responses: 100
Task: task3stock | Model: Llama-3.1-8B-Instruct | Mode: direct | Average conspiracy belief rating: 4.46 | Total responses: 97
Task: task3stock | Model: Llama-3.2-3B-Instruct | Mode: explain | Average conspiracy belief rating: 5.92 | Total responses: 99
Task: task3stock | Model: Qwen2.5-7B-Instruct | Mode: direct | Average conspiracy belief rating: 3.30 | Total responses: 100
Task: task3stock | Model: Qwen3-4B-Instruct-2507 | Mode: direct | Average conspiracy belief rating: 5.67 | Total responses: 100
Task: task3stock | Model: Llama-3.2-1B-Instruct | Mode: explain | Average conspiracy belief rating: 4.68 | Total responses: 57
Task: task3stock | Model: Qwen2.5-14B-Instruct | Mode: direct | Average conspiracy belief rating: 4.43 | Total responses: 100
Task: task3stock | Model: Llama-3.2-1B-Instruct | Mode: direct | Average conspiracy belief rating: 4.00 | Total responses: 51
Task: task3stock | Model: Qwen3-1.7B | Mode: explain | Average conspiracy belief rating: 5.01 | Total responses: 96
Task: task3stock | Model: Qwen3-4B-Instruct-2507 | Mode: explain | Average conspiracy belief rating: 6.45 | Total responses: 100
Task: task3stock | Model: Llama-3.2-3B-Instruct | Mode: direct | Average conspiracy belief rating: 5.19 | Total responses: 99
Task: task3stock | Model: Llama-3.0-8B-Instruct | Mode: direct | Average conspiracy belief rating: 6.02 | Total responses: 100
Task: task3stock | Model: Qwen2.5-14B-Instruct | Mode: explain | Average conspiracy belief rating: 4.65 | Total responses: 100
Task: task3promotion | Model: Llama-3.1-8B-Instruct | Mode: explain | Average conspiracy belief rating: 6.33 | Total responses: 100
Task: task3promotion | Model: Llama-3.0-8B-Instruct | Mode: explain | Average conspiracy belief rating: 5.60 | Total responses: 100
Task: task3promotion | Model: Qwen3-1.7B | Mode: direct | Average conspiracy belief rating: 4.91 | Total responses: 100
Task: task3promotion | Model: Qwen2.5-7B-Instruct | Mode: explain | Average conspiracy belief rating: 4.07 | Total responses: 100
Task: task3promotion | Model: Qwen3-4B | Mode: explain | Average conspiracy belief rating: 4.39 | Total responses: 98
